cond,knob,x,sample_hz,width,skew_ms,read_us,auc,ci_lo,ci_hi,n_windows
ceiling,control,,50.0,64,0.0,0.0,0.9020408163265308,0.6295502645502645,1.0,504
null_dup,control,,50.0,64,0.0,0.0,0.9020408163265308,0.6295502645502645,1.0,504
hz0.2_w64,sample_hz,0.2,0.2,64,1.0,80.0,0.5722222222222222,0.2531903010046611,0.9469542076089694,504
hz0.2_w32,sample_hz,0.2,0.2,32,1.0,80.0,0.4012471655328798,0.08899296697845806,0.7873606693759756,504
hz0.5_w64,sample_hz,0.5,0.5,64,1.0,80.0,0.8712504049238743,0.6126632180650038,0.9909894314868803,504
hz0.5_w32,sample_hz,0.5,0.5,32,1.0,80.0,0.7140265630061549,0.4019284879130223,0.9466403803584926,504
hz1_w64,sample_hz,1.0,1.0,64,1.0,80.0,0.7875283446712018,0.4694149187452759,0.9984940417139078,504
hz1_w32,sample_hz,1.0,1.0,32,1.0,80.0,0.798121153223194,0.47118201778065727,0.9992148526077097,504
hz2_w64,sample_hz,2.0,2.0,64,1.0,80.0,0.8963232912212504,0.7002602395124716,1.0,504
hz2_w32,sample_hz,2.0,2.0,32,1.0,80.0,0.8194201490119858,0.5923234658446712,0.9861291217876039,504
hz5_w64,sample_hz,5.0,5.0,64,1.0,80.0,0.8726757369614513,0.6785448554421769,1.0,504
hz5_w32,sample_hz,5.0,5.0,32,1.0,80.0,0.591609977324263,0.26747444058641984,0.8779462860982135,504
hz10_w64,sample_hz,10.0,10.0,64,1.0,80.0,0.7788629737609329,0.43756035896501455,0.9835398445092323,504
hz10_w32,sample_hz,10.0,10.0,32,1.0,80.0,0.6640265630061547,0.2765444021523954,0.9531352355757114,504
hz20_w64,sample_hz,20.0,20.0,64,1.0,80.0,0.9390508584386137,0.8052152423469388,1.0,504
hz20_w32,sample_hz,20.0,20.0,32,1.0,80.0,0.8724003887269193,0.680290600367131,1.0,504
hz50_w64,sample_hz,50.0,50.0,64,1.0,80.0,0.7877551020408164,0.44967828798185944,1.0,504
hz50_w32,sample_hz,50.0,50.0,32,1.0,80.0,0.9074991901522513,0.7579373177842565,1.0,504
skew0.0ms,clock_skew_ms,0.0,10.0,64,0.0,80.0,0.7867508908325235,0.46292989417989416,0.9835147392290249,504
skew1.0ms,clock_skew_ms,1.0,10.0,64,1.0,80.0,0.7788629737609329,0.43756035896501455,0.9835398445092323,504
skew10.0ms,clock_skew_ms,10.0,10.0,64,10.0,80.0,0.8094428247489471,0.5010606287267994,0.9865241334629089,504
skew100.0ms,clock_skew_ms,100.0,10.0,64,100.0,80.0,0.8911078717201166,0.7179563492063493,1.0,504
skew1000.0ms,clock_skew_ms,1000.0,10.0,64,1000.0,80.0,0.7620667314544866,0.4563976284958428,0.9637577694768384,504
read0us,read_skew_us,0.0,10.0,64,1.0,0.0,0.9228215095562035,0.7664318389392794,1.0,504
read100us,read_skew_us,100.0,10.0,64,1.0,100.0,0.9213475866537092,0.7645527742346939,1.0,504
read1000us,read_skew_us,1000.0,10.0,64,1.0,1000.0,0.8997408487204405,0.7210048776455027,1.0,504
read10000us,read_skew_us,10000.0,10.0,64,1.0,10000.0,0.9052640103660512,0.6957456335708887,1.0,504
